"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum2","B1","ecxwb1",0.292313896634764,0,0,1.0017967827828,0.357695912326778
FALSE,"c_proliferum2","B1","ecxwb2",0.201080713590627,0,0,1.00116039988363,0.35801292363351
FALSE,"c_proliferum2","B1","ecxll5",0.130013916585166,0,0,1.00303473733434,0.236431678496795
FALSE,"c_proliferum2","B1","ecxll4",0.180820525077014,0,0,1.00138437943812,0.394375253980346
FALSE,"c_proliferum2","B2","nec4param",0.0621384920336887,0,7828,1.93668081042797,0.000692723311971017
FALSE,"c_proliferum2","B2","ecx4param",0.212205720026211,286,0,1.00289179537585,0.0753406373397234
FALSE,"c_proliferum2","B2","ecxwb1",0.17766207157575,437,0,1.01224312581331,0.025537495810462
FALSE,"c_proliferum2","B2","ecxwb2",0.187285180042507,435,0,1.00414250303802,0.0955615402254785
FALSE,"c_proliferum2","B2","ecxll5",0.195783468929701,2400,0,1.00459270564726,0.0967017589887203
FALSE,"c_proliferum2","B2","ecxll4",0.164925067392143,326,0,1.00366217752987,0.0988071301314633
FALSE,"c_proliferum2","B3","nec4param",0.000508231452802602,0,0,1.00123518138297,0.193229750728658
FALSE,"c_proliferum2","B3","ecx4param",0.167771058474009,0,0,1.00193823513564,0.376009497600978
FALSE,"c_proliferum2","B3","ecxwb1",0.358585162006217,0,0,1.00153496564961,0.37008049345652
FALSE,"c_proliferum2","B3","ecxwb2",0.143285862699782,0,0,1.00186226301483,0.420848062859362
FALSE,"c_proliferum2","B3","ecxll5",0.167139171336816,1,0,1.00328358882837,0.193064336184178
FALSE,"c_proliferum2","B3","ecxll4",0.162710514030374,0,0,1.00121414660267,0.437584361664007
FALSE,"c_proliferum2","C","nec4param",0.223270705488448,0,0,1.0011797890093,0.268230224284723
FALSE,"c_proliferum2","C","neclin",0.420230015033886,0,0,1.00203635291431,0.36795477247998
FALSE,"c_proliferum2","C","ecxlin",3.27701560493617e-12,0,0,1.00201521082312,0.360102297042587
FALSE,"c_proliferum2","C","ecx4param",0.0545752970660782,0,0,1.0017656812955,0.134787534466566
FALSE,"c_proliferum2","C","ecxwb1",0.0521803016177988,0,0,1.00257902873984,0.160144968666881
FALSE,"c_proliferum2","C","ecxwb2",0.137316793226702,0,0,1.00203547465501,0.14418374850055
FALSE,"c_proliferum2","C","ecxll5",0.0619854827072072,1183,0,1.00314582047177,0.0998039177252532
FALSE,"c_proliferum2","C","ecxll4",0.0504414048566029,0,0,1.0023977130712,0.173990255355106
FALSE,"c_proliferum2","C2","nec4param",0.24991207596036,0,0,1.00185571640261,0.280253985655629
FALSE,"c_proliferum2","C2","neclin",0.390048398638175,0,0,1.00349594093734,0.285853334535954
FALSE,"c_proliferum2","C2","ecx4param",0.0578435657990805,0,0,1.00366874895186,0.148940212773796
FALSE,"c_proliferum2","C2","ecxwb1",0.0516981647840073,0,0,1.00255062377636,0.157616676236405
FALSE,"c_proliferum2","C2","ecxwb2",0.125149552003884,0,0,1.00217033446939,0.176294452171725
FALSE,"c_proliferum2","C2","ecxll5",0.0719141274302312,1081,0,1.0068020027714,0.109137378844168
FALSE,"c_proliferum2","C2","ecxll4",0.0534341153842619,0,0,1.00257608351379,0.166224006408594
FALSE,"c_proliferum2","D","nec4param",0.259894071124018,0,0,1.00263537344668,0.254047364959808
FALSE,"c_proliferum2","D","neclin",0.377724849476782,0,0,1.00370963432714,0.292941476493478
FALSE,"c_proliferum2","D","ecxlin",7.4404171607895e-08,0,0,1.00177688323505,0.375509483788252
FALSE,"c_proliferum2","D","ecx4param",0.0436056812197936,0,0,1.00339960058981,0.123055855800199
FALSE,"c_proliferum2","D","ecxwb1",0.0605775719977784,0,0,1.00588273302206,0.133973811858965
FALSE,"c_proliferum2","D","ecxwb2",0.108569671122667,0,0,1.00240525634748,0.215906581881482
FALSE,"c_proliferum2","D","ecxll5",0.102177458231303,965,0,1.00495622666431,0.0961215330110335
