"dataset","arm","model","wi","requested","dropped","dropped_rhat"
"r_salina2","B1","ecxlin",1.33303915217448e-27,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","ecx4param",0.134343001182223,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","ecxwb1",0.0968449558494878,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","ecxwb2",0.30153727438187,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B1","ecxll4",0.185619291403268,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","B2","ecx4param",0.217781868571988,6,"nec4param","nec4param"
"r_salina2","B2","ecxwb1",0.171751296299202,6,"nec4param","nec4param"
"r_salina2","B2","ecxwb2",0.193808559679807,6,"nec4param","nec4param"
"r_salina2","B2","ecxll5",0.199142907380599,6,"nec4param","nec4param"
"r_salina2","B2","ecxll4",0.217515368068404,6,"nec4param","nec4param"
"r_salina2","B3","nec4param",0.276694604963936,6,"",""
"r_salina2","B3","ecx4param",0.150814307628717,6,"",""
"r_salina2","B3","ecxwb1",0.0788084736463225,6,"",""
"r_salina2","B3","ecxwb2",0.177116216854383,6,"",""
"r_salina2","B3","ecxll5",0.134467843202143,6,"",""
"r_salina2","B3","ecxll4",0.182098553704498,6,"",""
"r_salina2","C","nec4param",0.88578842661203,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C","neclin",0.0945324638655935,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C","ecxlin",0.0143897694090214,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
"r_salina2","C","ecx4param",0.00152489501091987,14,"nec3param ecxexp ecxsigm ecxwb1p3 ecxwb2p3 ecxll5 ecxll3",""
