"cell","arm","endpoint","delta","top_factor","R","sigma_ratio","truth","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse","rel_bias","f_neg"
"d4.0_t2.0_R73.0_s8.1","B1","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.264658104875564,0.00190531834595087,0.268058577997486,0.00190093533341883,0.018,0.005945754788082,0.131039157841349,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B3","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.301136595986126,0.00189930847707028,0.304110717362864,0.00220760296949511,0,0,0.149100613985678,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","C","NSEC",4,2,73,8.09002951790214,1.3,500,0.123145301910996,0.00303389863707391,0.140562553021172,0.00366180524790325,0.49,0.0223562071917398,0.0947271553161508,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","E","ErC10",4,2,73,8.09002951790214,2.01968716248917,500,0.250821435833627,0.00146069693735074,0.252934926037296,0.00145826595358666,0.126,0.0148407546977908,0.124188260683155,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","B2","NSEC",4,2,73,8.09002951790214,1.3,500,1.73612696918154,0.00318649754843193,1.73758556125042,0.00318457632544414,0,0,1.3354822839858,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","E","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.748735122483311,0.00309723782445265,0.751924950928328,0.00310422516046458,0,0,-0.148167864300434,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","A","NSEC",4,2,73,8.09002951790214,1.3,500,0.134085309728009,0.00311911059489985,0.151107798890597,0.00358530710707566,0.582,0.0220579237463547,0.103142545944622,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","D","NSEC",4,2,73,8.09002951790214,1.3,500,0.123146174866899,0.00301092676505522,0.140316623023173,0.0036253192806145,0.5,0.0223606797749979,0.0947278268206918,0.142857142857143
"d4.0_t2.0_R73.0_s8.1","F","ErC50",4,2,73,8.09002951790214,5.0532895646328,500,-0.789153734591109,0.00364434262400558,0.793341636476055,0.00358254994412104,0.116,0.0143208938268531,-0.156166339667981,0.142857142857143
"d8.0_t0.8_R2.3_s8.1","A","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,-0.0140576317924589,0.00751736031207617,0.168512490149365,0.00791905539272975,0.948,0.00992935043192656,-0.00827878945248634,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","B3","NSEC",8,0.8,2.3,8.09002951790214,1.3,500,0.225558887996411,0.0093585285008058,0.307539034512165,0.0114251864295864,0.756,0.0192074985357282,0.173506836920316,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","C","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,-0.0145500573323325,0.00751178282357142,0.168430157280212,0.00790900000307966,0.948,0.00992935043192656,-0.00856878761333071,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","B2","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,0.00738046581846617,0.00829303672039523,0.185399368500984,0.00978257181565263,0.934,0.0111035129576184,0.0043464876214165,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","D","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,-0.0140576317924589,0.00751736031207617,0.168512490149365,0.00791905539272975,0.948,0.00992935043192656,-0.00827878945248634,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","D","ErC50",8,0.8,2.3,8.09002951790214,3.33617149040127,500,-0.128872049506417,0.00905414464193181,0.239822424321202,0.00663753232052723,0.778,0.0185858010319706,-0.0386287245356554,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","F","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,0.0271170573228638,0.0121714481457219,0.273238477579359,0.0114031730687408,0.902,0.0132963152790538,0.0159697174788303,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","C","NSEC",8,0.8,2.3,8.09002951790214,1.3,500,0.191462095779496,0.00849892138401904,0.269631850495177,0.00934427615131754,0.832,0.0167198086113448,0.147278535214997,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","B2","ErC50",8,0.8,2.3,8.09002951790214,3.33617149040127,500,-0.156408309829884,0.00968117690600385,0.266894037663315,0.00716483055473012,0.746,0.0194671004517879,-0.0468825749155574,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","B1","NSEC",8,0.8,2.3,8.09002951790214,1.3,500,0.189841160468693,0.00849106791113923,0.26835924636505,0.00935255502506794,0.834,0.0166399519230075,0.146031661898994,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","B3","ErC10",8,0.8,2.3,8.09002951790214,1.69802987177516,500,0.00540636700236581,0.00825272490638898,0.184431167447507,0.00962872657018687,0.934,0.0111035129576184,0.00318390570874579,0.00328571428571429
"d8.0_t0.8_R2.3_s8.1","E","ErC50",8,0.8,2.3,8.09002951790214,3.33617149040127,500,-0.209744151117442,0.0120121550187217,0.340579287621375,0.00893619935393399,0.782,0.0184648855940133,-0.0628697150973538,0.00328571428571429
