"cell","arm","endpoint","n","bias","bias_mcse","rmse","rmse_mcse","coverage","coverage_mcse"
"d4.0_t1.0_R2.3_s8.1","D","ErC50",478,-0.198494635368744,0.0154437767119081,0.39136875748312,0.0112879329513194,0.834728033472803,0.0169886218141805
"d4.0_t2.0_R17.0_s8.1","D","ErC50",493,-0.0668849250248187,0.00448673893431283,0.119908130324,0.0037066311525691,0.793103448275862,0.0182439169116032
"d4.0_t2.0_R2.3_s8.1","D","ErC50",450,-0.0981705762862574,0.0166490824707225,0.366192089351849,0.014595977690009,0.831111111111111,0.0176613471298681
"d4.0_t2.0_R3.3_s8.1","D","ErC50",483,-0.0951347805574189,0.0109121779542148,0.257769429966499,0.0086246875141076,0.821946169772257,0.0174069941304138
"d4.0_t2.0_R73.0_s8.1","D","ErC50",493,-0.0486282264046997,0.00293054184941299,0.0811790463395444,0.00246149183509081,0.793103448275862,0.0182439169116032
"d8.0_t0.8_R2.3_s8.1","D","ErC50",487,-0.132010937313588,0.00916290877767179,0.241310819572245,0.00672241427982273,0.774127310061602,0.0189484450163804
"d8.0_t1.0_R2.3_s8.1","D","ErC50",462,-0.139775655449692,0.00742789594675139,0.212066690134587,0.00538248474420645,0.805194805194805,0.0184259446110573
"d8.0_t2.0_R2.3_s8.1","D","ErC50",464,-0.0744046384660116,0.00766045793065835,0.180848282540304,0.00630281710319073,0.829741379310345,0.0174488552367878
"d2.0_t0.8_R2.3_s8.1","B2","ErC50",492,-0.402201855654218,0.0415247654114238,1.00419153982013,0.0306821801700566,0.717479674796748,0.0202977125874099
"d2.0_t1.0_R2.3_s8.1","B2","ErC50",476,-0.728830532301559,0.0339464478467167,1.03854011597273,0.0244825190151117,0.649159663865546,0.0218739414954234
"d2.0_t2.0_R2.3_s8.1","B2","ErC50",210,-0.744505079817822,0.0431766049870978,0.971550117328398,0.0354788699235646,0.914285714285714,0.0193178115366518
"d4.0_t0.8_R2.3_s8.1","B2","ErC50",493,-0.271510784604709,0.0197874505372377,0.516098207658552,0.0141847326122461,0.709939148073022,0.0204376831541811
"d4.0_t1.0_R2.3_s8.1","B2","ErC50",468,-0.522994300312882,0.015408156871338,0.619995253535036,0.0130890741135128,0.510683760683761,0.0231072313235365
"d4.0_t2.0_R17.0_s8.1","B2","ErC50",237,-0.5846424024478,0.00565019575760272,0.591050734535838,0.00552846928063603,1,0
"d4.0_t2.0_R2.3_s8.1","B2","ErC50",154,-0.605188209573641,0.0226175134371756,0.666723489807667,0.0205229443252573,0.928571428571429,0.020753114398142
"d4.0_t2.0_R3.3_s8.1","B2","ErC50",202,-0.59526417703112,0.0134738491240033,0.625163904196358,0.0126637369417283,0.99009900990099,0.0069663123240623
"d4.0_t2.0_R73.0_s8.1","B2","ErC50",263,-0.583894383562598,0.00362212136621617,0.586830494361145,0.00359469528260119,1,0
"d8.0_t0.8_R2.3_s8.1","B2","ErC50",486,-0.15530804199092,0.00983876594024293,0.266588120125583,0.00723097018974984,0.748971193415638,0.0196687247745653
"d8.0_t1.0_R2.3_s8.1","B2","ErC50",468,-0.324402999247829,0.00674561117669544,0.355650577223924,0.00615081486685767,0.376068376068376,0.0223912830542498
"d8.0_t2.0_R2.3_s8.1","B2","ErC50",36,-0.384305096863423,0.0205841919913164,0.403137967788874,0.0208312119504328,1,0
