"escalated","dataset","arm","model","wi","divergences","max_treedepth_hit","max_rhat","min_neff_ratio"
FALSE,"c_proliferum2","B1","ecx4param",0.211507024915227,0,0,1.00211215302987,0.391981300668996
FALSE,"c_proliferum2","B1","ecxwb1",0.348962435241354,0,0,1.00068282290989,0.359339461794913
FALSE,"c_proliferum2","B1","ecxwb2",0.213751393538406,0,0,1.00118249268671,0.359144879613952
FALSE,"c_proliferum2","B1","ecxll4",0.224536790701711,0,0,1.00143616737907,0.37046244518398
FALSE,"c_proliferum2","B2","nec4param",0.0583268930890212,0,7828,1.93668081042797,0.000692723311971017
FALSE,"c_proliferum2","B2","ecx4param",0.213515537605273,286,0,1.00289179537585,0.0753406373397234
FALSE,"c_proliferum2","B2","ecxwb1",0.178872127368011,437,0,1.01224312581331,0.025537495810462
FALSE,"c_proliferum2","B2","ecxwb2",0.186692421774977,435,0,1.00414250303802,0.0955615402254785
FALSE,"c_proliferum2","B2","ecxll5",0.196597818300062,2400,0,1.00459270564726,0.0967017589887203
FALSE,"c_proliferum2","B2","ecxll4",0.165995201862656,326,0,1.00366217752987,0.0988071301314633
FALSE,"c_proliferum2","B3","nec4param",0.000423038587729727,0,0,1.00123518138297,0.193229750728658
FALSE,"c_proliferum2","B3","ecx4param",0.164805022779463,0,0,1.00193823513564,0.376009497600978
FALSE,"c_proliferum2","B3","ecxwb1",0.356836519323894,0,0,1.00153496564961,0.37008049345652
FALSE,"c_proliferum2","B3","ecxwb2",0.150939182243741,0,0,1.00186226301483,0.420848062859362
FALSE,"c_proliferum2","B3","ecxll5",0.166812010635279,1,0,1.00328358882837,0.193064336184178
FALSE,"c_proliferum2","B3","ecxll4",0.160184226429894,0,0,1.00121414660267,0.437584361664007
FALSE,"c_proliferum2","C","nec4param",0.241004380135987,0,0,1.00185059906633,0.28239556381997
FALSE,"c_proliferum2","C","neclin",0.434117815467596,0,0,1.00079819587332,0.298106887474379
FALSE,"c_proliferum2","C","ecxlin",2.11713693724045e-11,0,0,1.00158911772162,0.335198364104415
FALSE,"c_proliferum2","C","ecx4param",0.0571562813572816,0,0,1.00271200842699,0.179815922129169
FALSE,"c_proliferum2","C","ecxwb1",0.0487104129785249,0,0,1.00322914847057,0.147282059456258
FALSE,"c_proliferum2","C","ecxwb2",0.161449428605868,0,0,1.00332483384303,0.162990492278544
FALSE,"c_proliferum2","C","ecxll4",0.0575616814335703,0,0,1.0018281776637,0.189695001999272
FALSE,"c_proliferum2","C2","nec4param",0.253785263179697,0,0,1.00193435300583,0.303158492413039
FALSE,"c_proliferum2","C2","neclin",0.436591616777973,0,0,1.00167140113377,0.301942477482218
FALSE,"c_proliferum2","C2","ecxlin",1.53228813058704e-09,0,0,1.00089800693504,0.389318446503342
FALSE,"c_proliferum2","C2","ecx4param",0.0625754681604722,0,0,1.00406451754014,0.154619292709524
FALSE,"c_proliferum2","C2","ecxwb1",0.0516874489364284,0,0,1.00249652646313,0.129734262176877
FALSE,"c_proliferum2","C2","ecxwb2",0.14025433881012,0,0,1.00261330198905,0.144005755026622
FALSE,"c_proliferum2","C2","ecxll4",0.0551058626030214,0,0,1.00531328281522,0.141459088695459
FALSE,"c_proliferum2","D","nec4param",0.29204021979958,0,0,1.00196555656007,0.248976578866283
FALSE,"c_proliferum2","D","neclin",0.415389104911473,0,0,1.00370963432714,0.292941476493478
FALSE,"c_proliferum2","D","ecxlin",1.36663872518905e-05,0,0,1.00064311928138,0.381242867702924
FALSE,"c_proliferum2","D","ecx4param",0.0511959534314496,0,0,1.00490359601853,0.173655558409943
FALSE,"c_proliferum2","D","ecxwb1",0.0676030454086521,0,0,1.00305986156848,0.175246428402511
FALSE,"c_proliferum2","D","ecxwb2",0.117272178587277,0,0,1.00292166688304,0.212973216207211
FALSE,"c_proliferum2","D","ecxll4",0.0564858314743168,0,0,1.00412456539634,0.12721671830083
FALSE,"c_proliferum2","SQ","nec3param",0.000632835329898602,0,0,1.00193584645337,0.137910350625018
FALSE,"c_proliferum2","SQ","nec4param",0.000425235590586439,0,0,1.00603387819366,0.0684021757494103
FALSE,"c_proliferum2","SQ","ecxexp",1.53789266991414e-16,0,0,1.00133488768808,0.413794775964268
FALSE,"c_proliferum2","SQ","ecxsigm",2.0263212742252e-08,0,0,1.0037182431455,0.232665385891743
FALSE,"c_proliferum2","SQ","ecx4param",0.302121519424702,0,0,1.00213980876842,0.380851795553656
FALSE,"c_proliferum2","SQ","ecxwb1",0.155831542030186,0,0,1.0017037985505,0.401996679140174
FALSE,"c_proliferum2","SQ","ecxwb2",0.25485046826764,0,0,1.00135472718502,0.39325175939047
FALSE,"c_proliferum2","SQ","ecxwb1p3",9.49885135435075e-19,0,0,1.00327412138139,0.355170917314088
